nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_E_score,original_decile,E_expanded_decile,GB_IMD_E_rank,GB_IMD_E_pop_decile,GB_IMD_E_pop_quintile
E,E01012870,27.103,11.4,7.2,27.103,3,3,12060,3,2
E,E01031109,27.102,15.3,14.4,27.102,3,3,12061,3,2
S,S01009830,28.89391883,20,12,27.10176944,3,3,12062,3,2
S,S01012172,29.97283507,20,15,27.10051558,3,3,12063,3,2
E,E01010595,27.1,15.5,11.4,27.1,3,3,12064,3,2
E,E01006839,27.099,12.5,15.2,27.099,3,3,12065,3,2
E,E01010602,27.098,12.8,8.3,27.098,3,3,12066.5,3,2
E,E01000222,27.098,16.3,13,27.098,3,3,12066.5,3,2
E,E01018489,27.097,14.7,9,27.097,3,3,12068.5,3,2
E,E01026694,27.097,11.2,8.4,27.097,3,3,12068.5,3,2
E,E01000972,27.096,20.8,14.7,27.096,3,3,12070,3,2
S,S01007082,29.07058316,21,12,27.09329253,3,3,12071,3,2
E,E01001762,27.09,13.8,9.9,27.09,3,3,12072,3,2
E,E01001170,27.089,14.7,11.3,27.089,3,3,12073,3,2
E,E01033100,27.088,17.6,9.8,27.088,3,3,12074,3,2
E,E01019496,27.079,15.8,14.3,27.079,3,3,12075,3,2
W,W01001168,23,19,13,27.07843643,4,3,12076,3,2
E,E01003185,27.075,17.7,10.2,27.075,3,3,12077,3,2
S,S01012850,28.85961881,16,14,27.07435114,3,3,12078,3,2
S,S01011827,26.31789067,10,10,27.07120706,4,3,12079,3,2
E,E01032423,27.07,15.4,13.3,27.07,3,3,12080,3,2
E,E01003573,27.069,14.7,8.2,27.069,3,3,12081,3,2
E,E01004033,27.067,19.1,10.2,27.067,3,3,12082,3,2
E,E01022050,27.062,18,15.3,27.062,3,3,12083,3,2
W,W01001337,22.9,18,13,27.06013974,4,3,12084,3,2
E,E01012432,27.06,17.3,15.2,27.06,3,3,12085,3,2
E,E01026782,27.059,10.2,10.1,27.059,3,3,12086,3,2
E,E01001637,27.056,18.7,11.1,27.056,3,3,12087,3,2
E,E01005341,27.055,13,9.8,27.055,3,3,12088.5,3,2
E,E01000128,27.055,17.1,10.3,27.055,3,3,12088.5,3,2
E,E01002595,27.052,17.7,10.8,27.052,3,3,12090,3,2
W,W01000273,23.7,19,10,27.05120764,4,3,12091,3,2
E,E01011229,27.05,9.2,6.8,27.05,3,3,12092.5,3,2
E,E01007879,27.05,17.6,10.6,27.05,3,3,12092.5,3,2
E,E01006587,27.049,16.2,14.7,27.049,3,3,12094,3,2
E,E01028582,27.047,10.9,6.7,27.047,3,3,12095,3,2
E,E01002712,27.046,15.5,9,27.046,3,3,12096,3,2
S,S01010437,29.75273052,21,14,27.04458801,3,3,12097,3,2
E,E01024291,27.039,18.5,10.1,27.039,3,3,12098,3,2
S,S01009436,29.02147114,19,13,27.03837758,3,3,12099,3,2
E,E01004533,27.038,18.4,12.9,27.038,3,3,12100.5,3,2
E,E01022681,27.038,17.4,11.4,27.038,3,3,12100.5,3,2
E,E01001969,27.037,16.9,9.6,27.037,3,3,12102.5,3,2
E,E01009176,27.037,15.6,11.4,27.037,3,3,12102.5,3,2
S,S01007081,27.02330153,14,10,27.03569245,3,3,12104,3,2
E,E01013618,27.035,17.9,14.8,27.035,3,3,12105,3,2
E,E01032810,27.034,22.6,14.3,27.034,3,3,12106,3,2
E,E01024535,27.033,14.8,13.1,27.033,3,3,12107,3,2
E,E01032254,27.029,15.8,9.5,27.029,3,3,12108.5,3,2
E,E01009867,27.029,14.3,12.1,27.029,3,3,12108.5,3,2
E,E01020225,27.028,16.8,14.1,27.028,3,3,12111,3,2
E,E01019492,27.028,17.2,14.6,27.028,3,3,12111,3,2
E,E01022649,27.028,18.3,12.4,27.028,3,3,12111,3,2
E,E01021295,27.027,16.2,11,27.027,3,3,12113,3,2
E,E01015477,27.024,15.2,9.5,27.024,3,3,12114,3,2
E,E01003357,27.022,22.6,12.1,27.022,3,3,12115,3,2
E,E01008222,27.018,16.2,13.3,27.018,3,3,12116,3,2
E,E01003452,27.017,19.4,14,27.017,3,3,12117,3,2
E,E01032544,27.016,14.2,12.7,27.016,3,3,12118,3,2
E,E01007436,27.015,13.7,14.1,27.015,3,3,12119.5,3,2
E,E01022153,27.015,12.6,11.5,27.015,3,3,12119.5,3,2
E,E01023302,27.011,14.6,12.2,27.011,3,3,12121,3,2
E,E01023555,27.01,17.2,12.2,27.01,3,3,12122.5,3,2
E,E01031238,27.01,15.6,16.6,27.01,3,3,12122.5,3,2
E,E01026665,27.008,11.5,12.3,27.008,3,3,12124.5,3,2
E,E01019675,27.008,15.6,12.6,27.008,3,3,12124.5,3,2
S,S01010016,29.90688242,22,14,27.00708782,3,3,12126,3,2
E,E01026447,27.007,17,12.5,27.007,3,3,12127,3,2
E,E01007646,27.006,14.7,11.4,27.006,3,3,12128,3,2
E,E01021889,27.005,16,14.1,27.005,3,3,12129.5,3,2
E,E01016067,27.005,16.3,14.3,27.005,3,3,12129.5,3,2
E,E01000195,26.999,17.7,10.9,26.999,3,3,12131,3,2
S,S01007660,28.97749451,15,15,26.99848409,3,3,12132,3,2
S,S01013035,27.8975113,15,12,26.99836241,3,3,12133,3,2
E,E01021811,26.996,18.7,12.4,26.996,3,3,12134,3,2
E,E01007788,26.992,13.5,10,26.992,3,3,12135,3,2
E,E01028166,26.99,17.8,14.7,26.99,3,3,12136,3,2
E,E01021764,26.987,21.5,11.6,26.987,3,3,12137,3,2
E,E01000640,26.984,17.3,9.5,26.984,3,3,12138.5,3,2
E,E01001970,26.984,19.7,10.1,26.984,3,3,12138.5,3,2
E,E01009967,26.983,16.8,13.4,26.983,3,3,12140,3,2
E,E01026763,26.982,12.1,9.7,26.982,3,3,12141,3,2
E,E01027550,26.979,15.3,15.7,26.979,3,3,12142,3,2
E,E01030657,26.978,17,10.9,26.978,3,3,12144.5,3,2
E,E01015781,26.978,15.6,11.6,26.978,3,3,12144.5,3,2
E,E01021245,26.978,18,14,26.978,3,3,12144.5,3,2
E,E01015580,26.978,15.3,10.3,26.978,3,3,12144.5,3,2
E,E01012731,26.975,14.7,11.8,26.975,3,3,12147,3,2
S,S01006703,28.06233653,16,12,26.97462238,3,3,12148,3,2
S,S01008185,30.05169825,19,16,26.97435312,3,3,12149,3,2
E,E01026060,26.974,11,12,26.974,3,3,12150,3,2
E,E01027444,26.972,12.1,12.2,26.972,3,3,12151,3,2
S,S01011596,27.51514867,15,11,26.96948447,3,3,12152,3,2
E,E01026068,26.967,10.4,9.3,26.967,3,3,12153,3,2
E,E01011804,26.965,12.2,12.1,26.965,3,3,12154,3,2
E,E01001394,26.964,20.7,8.1,26.964,3,3,12155,3,2
E,E01017341,26.963,19,15.2,26.963,3,3,12156,3,2
E,E01017246,26.962,12.5,8.4,26.962,3,3,12157,3,2
E,E01003550,26.959,16.9,8.4,26.959,3,3,12158,3,2
E,E01033002,26.958,14.6,6.8,26.958,3,3,12159,3,2
S,S01008105,29.49535724,18,15,26.95741486,3,3,12160,3,2
E,E01003280,26.957,18.2,12.3,26.957,3,3,12161.5,3,2
E,E01003629,26.957,16.3,6.9,26.957,3,3,12161.5,3,2
S,S01011061,28.04768791,16,12,26.95573721,3,3,12163,3,2
E,E01010591,26.953,19,12.3,26.953,3,3,12164,3,2
E,E01002806,26.952,17.7,12.1,26.952,3,3,12165,3,2
E,E01008865,26.951,16.2,15,26.951,3,3,12166,3,2
E,E01026122,26.95,11.5,9.7,26.95,3,3,12167,3,2
E,E01026640,26.949,16.2,12.1,26.949,3,3,12168.5,3,2
E,E01001844,26.949,14,8.3,26.949,3,3,12168.5,3,2
E,E01033593,26.944,11.5,7.3,26.944,3,3,12170,3,2
E,E01004489,26.942,12.3,9.1,26.942,3,3,12171.5,3,2
E,E01001004,26.942,20.2,11.1,26.942,3,3,12171.5,3,2
S,S01008908,27.67037192,16,11,26.93336546,3,3,12173,3,2
E,E01010652,26.928,10.9,9.3,26.928,3,3,12174,3,2
E,E01008532,26.927,18.3,13.4,26.927,3,3,12175,3,2
E,E01025392,26.926,15.6,12.6,26.926,3,3,12176,3,2
S,S01013468,29.29906943,21,13,26.92379129,3,3,12177,3,2
E,E01005278,26.922,14.2,6.4,26.922,3,3,12178.5,3,2
E,E01017104,26.922,12.3,7.8,26.922,3,3,12178.5,3,2
E,E01001825,26.92,12.3,8.2,26.92,3,3,12180.5,3,2
E,E01021598,26.92,19.1,12.6,26.92,3,3,12180.5,3,2
W,W01000536,23.4,14,9,26.9194201,4,3,12182,3,2
S,S01009601,28.92253973,17,14,26.9192349,3,3,12183,3,2
E,E01022839,26.919,14.4,14.3,26.919,3,3,12184,3,2
E,E01031912,26.918,16,15.2,26.918,3,3,12185,3,2
E,E01002908,26.916,15.7,10.5,26.916,3,3,12186,3,2
E,E01001242,26.914,15,11.8,26.914,3,3,12187.5,3,2
E,E01014404,26.914,17.9,14.6,26.914,3,3,12187.5,3,2
E,E01015843,26.912,18.3,11.5,26.912,3,3,12189,3,2
E,E01013932,26.911,13.5,14.1,26.911,3,3,12190,3,2
E,E01003438,26.908,18.2,13.2,26.908,3,3,12191,3,2
E,E01032587,26.907,18.2,13.6,26.907,3,3,12192.5,3,2
E,E01007513,26.907,13.6,11.2,26.907,3,3,12192.5,3,2
E,E01011087,26.904,18.7,16.4,26.904,3,3,12194.5,3,2
E,E01011841,26.904,11.4,13,26.904,3,3,12194.5,3,2
S,S01013373,29.63027684,17,16,26.903521,3,3,12196,3,2
E,E01026458,26.903,17.5,14.9,26.903,3,3,12197.5,3,2
E,E01027191,26.903,12.4,10.3,26.903,3,3,12197.5,3,2
E,E01008660,26.901,13.9,16.1,26.901,3,3,12199,3,2
W,W01001566,21.6,10,15,26.90069092,4,3,12200,3,2
E,E01007429,26.9,18.8,16,26.9,3,3,12201,3,2
E,E01018309,26.897,16.1,14.9,26.897,3,3,12202.5,3,2
E,E01004266,26.897,19.5,9.8,26.897,3,3,12202.5,3,2
S,S01007907,29.10087768,22,12,26.89611396,3,3,12204,3,2
E,E01031117,26.896,16.4,10.2,26.896,3,3,12205,3,2
E,E01006906,26.894,15,13.2,26.894,3,3,12206,3,2
E,E01001668,26.89,18.3,11.4,26.89,3,3,12207,3,2
S,S01011924,28.53330555,15,14,26.88989892,3,3,12208,3,2
W,W01001233,22.8,13,11,26.88804812,4,3,12209,3,2
E,E01025225,26.888,16.2,13,26.888,3,3,12210,3,2
S,S01013137,28.177893,17,12,26.88736451,3,3,12211,3,2
E,E01024493,26.887,18,15,26.887,3,3,12212.5,3,2
E,E01004422,26.887,15.2,9.5,26.887,3,3,12212.5,3,2
E,E01031549,26.885,16.5,10.5,26.885,3,3,12214,3,2
E,E01005271,26.883,9.8,5.7,26.883,3,3,12215,3,2
E,E01023530,26.881,18.8,9.3,26.881,3,3,12216,3,2
E,E01016465,26.88,12.8,8,26.88,3,3,12217,3,2
E,E01013751,26.876,21.3,9.7,26.876,3,3,12218,3,2
E,E01002612,26.874,18,9.2,26.874,3,3,12219.5,3,2
E,E01019577,26.874,17.8,16.6,26.874,3,3,12219.5,3,2
E,E01004397,26.872,15.1,7.3,26.872,3,3,12221,3,2
E,E01003331,26.871,18.3,12.8,26.871,3,3,12222.5,3,2
E,E01031455,26.871,15.1,11.7,26.871,3,3,12222.5,3,2
E,E01026353,26.87,16.1,12.3,26.87,3,3,12224,3,2
E,E01031080,26.868,14.9,12.1,26.868,3,3,12225,3,2
E,E01033597,26.867,16.3,14.5,26.867,3,3,12226,3,2
S,S01009583,29.2524427,21,13,26.86367957,3,3,12227,3,2
E,E01002180,26.863,18.9,11.2,26.863,3,3,12228,3,2
W,W01000293,23.5,16,9,26.86233003,4,3,12229,3,2
E,E01009105,26.859,13.6,9.6,26.859,3,3,12230,3,2
S,S01009418,28.14890366,15,13,26.85839196,3,3,12231,3,2
W,W01001415,22.2,15,14,26.85818684,4,3,12232,3,2
S,S01009255,27.97081713,16,12,26.85663452,3,3,12233,3,2
E,E01005798,26.854,14.4,16.1,26.854,3,3,12234.5,3,2
E,E01019089,26.854,15.6,14.7,26.854,3,3,12234.5,3,2
E,E01028212,26.847,17.8,12.4,26.847,3,3,12236,3,2
W,W01001256,23.4,18,10,26.84554404,4,3,12237,3,2
E,E01010856,26.843,10.8,11.4,26.843,3,3,12238.5,3,2
E,E01018925,26.843,9.4,8.6,26.843,3,3,12238.5,3,2
E,E01013254,26.842,18.3,14.8,26.842,3,3,12240,3,2
S,S01009185,27.59926278,16,11,26.84169075,3,3,12241,3,2
S,S01010852,27.59060028,14,12,26.83892379,3,3,12242,3,2
E,E01001752,26.838,12.1,6.2,26.838,3,3,12243.5,3,2
