DZcode,IMD_population
S01007641,809
S01007642,768
S01007643,907
S01007644,776
S01007645,523
S01007646,598
S01007647,666
S01007648,849
S01007649,735
S01007650,916
S01007651,576
S01007652,607
S01007653,832
S01007654,1106
S01007655,794
S01007656,748
S01007657,438
S01007658,508
S01007659,823
S01007660,818
S01007661,597
S01007662,868
S01007663,831
S01007664,570
S01007665,653
S01007666,491
S01007667,756
S01007668,1078
S01007669,635
S01007670,685
S01007671,717
S01007672,852
S01007673,673
S01007674,757
S01007675,664
S01007676,676
S01007677,479
S01007678,741
S01007679,823
S01007680,894
S01007681,407
S01007682,877
S01007683,713
S01007684,758
S01007685,871
S01007686,681
S01007687,839
S01007688,994
S01007689,612
S01007690,879
S01007691,2856
S01007692,847
S01007693,1039
S01007694,1004
S01007695,1050
S01007696,776
S01007697,981
S01007698,1075
S01007699,819
S01007700,971
S01007701,534
S01007702,1016
S01007703,815
S01007704,935
S01007705,793
S01007706,867
S01007707,1057
S01007708,658
S01007709,614
S01007710,933
S01007711,1075
S01007712,708
S01007713,435
S01007714,638
S01007715,521
S01007716,1062
S01007717,778
S01007718,719
S01007719,938
S01007720,747
S01007721,810
S01007722,988
S01007723,960
S01007724,641
S01007725,702
S01007726,780
S01007727,1040
S01007728,909
S01007729,725
S01007730,687
S01007731,727
S01007732,824
S01007733,880
S01007734,837
S01007735,799
S01007736,723
S01007737,1137
S01007738,740
S01007739,611
S01007740,575
S01007741,755
S01007742,583
S01007743,853
S01007744,782
S01007745,700
S01007746,906
S01007747,495
S01007748,747
S01007749,712
S01007750,810
S01007751,850
S01007752,815
S01007753,511
S01007754,896
S01007755,808
S01007756,538
S01007757,837
S01007758,936
S01007759,982
S01007760,640
S01007761,899
S01007762,831
S01007763,588
S01007764,710
S01007765,671
S01007766,889
S01007767,864
S01007768,734
S01007769,732
S01007770,735
S01007771,557
S01007772,985
S01007773,706
S01007774,970
S01007775,974
S01007776,691
S01007777,1244
S01007778,524
S01007779,632
S01007780,759
S01007781,830
S01007782,581
S01007783,708
S01007784,682
S01007785,574
S01007786,746
S01007787,655
S01007788,711
S01007789,594
S01007790,829
S01007791,587
S01007792,878
S01007793,890
S01007794,593
S01007795,621
S01007796,818
S01007797,572
S01007798,716
S01007799,627
S01007800,969
S01007801,943
S01007802,538
S01007803,1081
S01007804,628
S01007805,499
S01007806,643
S01007807,741
S01007808,787
S01007809,877
S01007810,852
S01007811,941
S01007812,832
S01007813,836
S01007814,533
S01007815,904
S01007816,604
S01007817,433
S01007818,702
S01007819,873
S01007820,928
S01007821,525
S01007822,744
S01007823,732
S01007824,715
S01007825,959
S01007826,633
S01007827,608
S01007828,965
S01007829,548
S01007830,921
S01007831,984
S01007832,631
S01007833,804
S01007834,719
S01007835,678
S01007836,558
S01007837,774
S01007838,1003
S01007839,681
S01007840,714
S01007841,664
S01007842,782
S01007843,712
S01007844,907
S01007845,925
S01007846,744
S01007847,881
S01007848,827
S01007849,934
S01007850,733
S01007851,963
S01007852,695
S01007853,643
S01007854,1097
S01007855,542
S01007856,923
S01007857,505
S01007858,1078
S01007859,638
S01007860,652
S01007861,650
S01007862,722
S01007863,911
S01007864,933
S01007865,955
S01007866,537
S01007867,670
S01007868,826
S01007869,978
S01007870,536
S01007871,654
S01007872,638
S01007873,645
S01007874,709
S01007875,550
S01007876,1096
S01007877,701
S01007878,690
S01007879,704
S01007880,396
S01007881,524
S01007882,742
S01007883,1042
S01007884,630
S01007885,690
S01007886,787
S01007887,583
S01007888,1000
S01007889,488
S01007890,745
S01007891,891
S01007892,678
S01007893,999
S01007894,845
S01007895,630
S01007896,820
S01007897,467
S01007898,444
S01007899,368
S01007900,550
S01007901,669
S01007902,805
S01007903,600
S01007904,837
S01007905,603
S01007906,657
S01007907,515
S01007908,900
S01007909,500
S01007910,839
S01007911,786
S01007912,689
S01007913,605
S01007914,599
S01007915,820
S01007916,839
S01007917,791
S01007918,804
S01007919,792
S01007920,643
S01007921,909
S01007922,797
S01007923,944
S01007924,1047
S01007925,440
S01007926,479
S01007927,767
S01007928,1024
S01007929,1530
S01007930,638
S01007931,1145
S01007932,803
S01007933,835
S01007934,700
S01007935,798
S01007936,991
S01007937,995
S01007938,698
S01007939,766
S01007940,1031
S01007941,611
S01007942,646
S01007943,653
S01007944,902
S01007945,820
S01007946,710
S01007947,659
S01007948,608
S01007949,668
S01007950,898
S01007951,925
S01007952,626
S01007953,958
S01007954,697
S01007955,791
S01007956,700
S01007957,894
S01007958,780
S01007959,723
S01007960,696
S01007961,1069
S01007962,539
S01007963,963
S01007964,806
S01007965,529
S01007966,955
S01007967,589
S01007968,914
S01007969,785
S01007970,794
S01007971,917
S01007972,764
S01007973,745
S01007974,808
S01007975,629
S01007976,655
S01007977,610
S01007978,568
S01007979,836
S01007980,694
S01007981,503
S01007982,526
S01007983,792
S01007984,791
S01007985,798
S01007986,575
S01007987,736
S01007988,797
S01007989,651
S01007990,874
S01007991,1045
S01007992,629
S01007993,768
S01007994,877
S01007995,843
S01007996,476
S01007997,694
S01007998,523
S01007999,689
S01008000,928
S01008001,875
S01008002,768
S01008003,689
S01008004,644
S01008005,790
S01008006,577
S01008007,466
S01008008,708
S01008009,814
S01008010,706
S01008011,635
S01008012,889
S01008013,736
S01008014,621
S01008015,962
S01008016,750
S01008017,892
S01008018,584
S01008019,748
S01008020,556
S01008021,556
S01008022,714
S01008023,698
S01008024,1063
S01008025,605
S01008026,930
S01008027,561
S01008028,591
S01008029,1546
S01008030,1007
S01008031,868
S01008032,870
S01008033,813
S01008034,755
S01008035,563
S01008036,622
S01008037,995
S01008038,779
S01008039,869
S01008040,834
S01008041,677
S01008042,617
S01008043,1054
S01008044,965
S01008045,1054
S01008046,874
S01008047,664
S01008048,587
S01008049,822
S01008050,604
S01008051,874
S01008052,850
S01008053,599
S01008054,897
S01008055,1196
S01008056,775
S01008057,889
S01008058,883
S01008059,689
S01008060,850
S01008061,1212
S01008062,847
S01008063,901
S01008064,703
S01008065,942
S01008066,955
S01008067,713
S01008068,1041
S01008069,918
S01008070,923
S01008071,670
S01008072,868
S01008073,442
S01008074,1059
S01008075,601
S01008076,639
S01008077,829
S01008078,859
S01008079,916
S01008080,696
S01008081,603
S01008082,871
S01008083,709
S01008084,864
S01008085,916
S01008086,1027
S01008087,804
S01008088,847
S01008089,645
S01008090,745
S01008091,337
S01008092,917
S01008093,826
S01008094,1460
S01008095,710
S01008096,752
S01008097,616
S01008098,737
S01008099,527
S01008100,907
S01008101,838
S01008102,792
S01008103,686
S01008104,828
S01008105,1089
S01008106,785
S01008107,1468
S01008108,709
S01008109,873
S01008110,808
S01008111,883
S01008112,730
S01008113,932
S01008114,646
S01008115,856
S01008116,879
S01008117,755
S01008118,901
S01008119,663
S01008120,592
S01008121,640
S01008122,691
S01008123,851
S01008124,775
S01008125,891
S01008126,725
S01008127,791
S01008128,833
S01008129,900
S01008130,938
S01008131,831
S01008132,1138
S01008133,610
S01008134,597
S01008135,1083
S01008136,819
S01008137,880
S01008138,881
S01008139,950
S01008140,617
S01008141,756
S01008142,790
S01008143,936
S01008144,2459
S01008145,890
S01008146,499
S01008147,764
S01008148,707
S01008149,688
S01008150,874
S01008151,662
S01008152,990
S01008153,861
S01008154,757
S01008155,678
S01008156,926
S01008157,826
S01008158,650
S01008159,929
S01008160,1027
S01008161,1039
S01008162,1064
S01008163,845
S01008164,1692
S01008165,1182
S01008166,544
S01008167,700
S01008168,913
S01008169,781
S01008170,594
S01008171,746
S01008172,564
S01008173,658
S01008174,474
S01008175,737
S01008176,771
S01008177,759
S01008178,601
S01008179,535
S01008180,480
S01008181,653
S01008182,945
S01008183,646
S01008184,807
S01008185,938
S01008186,936
S01008187,652
S01008188,896
S01008189,575
S01008190,850
S01008191,621
S01008192,828
S01008193,852
S01008194,643
S01008195,764
S01008196,966
S01008197,1515
S01008198,718
S01008199,756
S01008200,618
S01008201,809
S01008202,576
S01008203,605
S01008204,886
S01008205,661
S01008206,664
S01008207,615
S01008208,887
S01008209,570
S01008210,949
S01008211,832
S01008212,564
S01008213,980
S01008214,714
S01008215,687
S01008216,491
S01008217,546
S01008218,1594
S01008219,1046
S01008220,628
S01008221,716
S01008222,697
S01008223,609
S01008224,830
S01008225,676
S01008226,726
S01008227,824
S01008228,654
S01008229,676
S01008230,781
S01008231,801
S01008232,874
S01008233,682
S01008234,440
S01008235,841
S01008236,791
S01008237,835
S01008238,785
S01008239,1076
S01008240,840
S01008241,650
S01008242,897
S01008243,906
S01008244,628
S01008245,962
S01008246,983
S01008247,800
S01008248,920
S01008249,907
S01008250,1190
S01008251,855
S01008252,832
S01008253,801
S01008254,999
S01008255,748
S01008256,815
S01008257,708
S01008258,778
S01008259,835
S01008260,783
S01008261,876
S01008262,656
S01008263,660
S01008264,710
S01008265,739
S01008266,662
S01008267,966
S01008268,881
S01008269,891
S01008270,849
S01008271,654
S01008272,1620
S01008273,832
S01008274,688
S01008275,514
S01008276,534
S01008277,492
S01008278,888
S01008279,715
S01008280,1000
S01008281,747
S01008282,762
S01008283,527
S01008284,1841
S01008285,792
S01008286,723
S01008287,883
S01008288,866
S01008289,611
S01008290,909
S01008291,732
S01008292,855
S01008293,620
S01008294,935
S01008295,871
S01008296,631
S01008297,847
S01008298,742
S01008299,807
S01008300,794
S01008301,771
S01008302,821
S01008303,476
S01008304,463
S01008305,762
S01008306,581
S01008307,638
S01008308,564
S01008309,759
S01008310,913
S01008311,366
S01008312,484
S01008313,840
S01008314,628
S01008315,685
S01008316,634
S01008317,871
S01008318,1145
S01008319,695
S01008320,590
S01008321,520
S01008322,1048
S01008323,790
S01008324,619
S01008325,849
S01008326,1016
S01008327,891
S01008328,2656
S01008329,858
S01008330,853
S01008331,621
S01008332,954
S01008333,1005
S01008334,1042
S01008335,743
S01008336,644
S01008337,1003
S01008338,936
S01008339,544
S01008340,800
S01008341,645
S01008342,855
S01008343,902
S01008344,886
S01008345,1045
S01008346,1010
S01008347,1022
S01008348,769
S01008349,858
S01008350,576
S01008351,900
S01008352,693
S01008353,528
S01008354,1074
S01008355,668
S01008356,607
S01008357,714
S01008358,707
S01008359,718
S01008360,841
S01008361,823
S01008362,1079
S01008363,778
S01008364,777
S01008365,690
S01008366,950
S01008367,747
S01008368,661
S01008369,550
S01008370,740
S01008371,771
S01008372,811
S01008373,803
S01008374,707
S01008375,818
S01008376,541
S01008377,767
S01008378,1032
S01008379,555
S01008380,703
S01008381,636
S01008382,864
S01008383,497
S01008384,976
S01008385,681
S01008386,881
S01008387,567
S01008388,629
S01008389,673
S01008390,604
S01008391,780
S01008392,894
S01008393,862
S01008394,904
S01008395,551
S01008396,645
S01008397,922
S01008398,605
S01008399,538
S01008400,678
S01008401,927
S01008402,1077
S01008403,602
S01008404,984
S01008405,816
S01008406,1047
S01008407,524
S01008408,674
S01008409,907
S01008410,682
S01008411,601
S01008412,716
S01008413,533
S01008414,452
S01008415,844
S01008416,896
S01008417,708
S01008418,691
S01008419,541
S01008420,466
S01008421,884
S01008422,617
S01008423,1088
S01008424,836
S01008425,3847
S01008426,599
S01008427,1084
S01008428,696
S01008429,964
S01008430,831
S01008431,825
S01008432,679
S01008433,806
S01008434,940
S01008435,789
S01008436,993
S01008437,765
S01008438,665
S01008439,1198
S01008440,999
S01008441,477
S01008442,701
S01008443,617
S01008444,872
S01008445,1170
S01008446,1180
S01008447,734
S01008448,761
S01008449,867
S01008450,660
S01008451,735
S01008452,676
S01008453,693
S01008454,940
S01008455,987
S01008456,996
S01008457,609
S01008458,1033
S01008459,783
S01008460,824
S01008461,940
S01008462,584
S01008463,673
S01008464,859
S01008465,732
S01008466,715
S01008467,806
S01008468,566
S01008469,668
S01008470,891
S01008471,866
S01008472,725
