LSOA11CD,Income_Deprived_Count
W01000843,170
W01000844,340
W01000845,160
W01000846,340
W01000847,180
W01000848,335
W01000849,560
W01000850,555
W01000851,285
W01000852,275
W01000853,105
W01000854,85
W01000855,95
W01000856,515
W01000857,345
W01000858,75
W01000859,100
W01000860,50
W01000861,70
W01000862,735
W01000863,685
W01000864,705
W01000865,380
W01000866,530
W01000867,515
W01000868,65
W01000869,240
W01000870,115
W01000871,310
W01000872,85
W01000873,140
W01000874,130
W01000875,180
W01000876,90
W01000877,125
W01000878,140
W01000879,80
W01000880,105
W01000881,385
W01000882,425
W01000883,80
W01000884,385
W01000885,390
W01000886,580
W01000887,415
W01000888,335
W01000889,180
W01000890,60
W01000891,275
W01000892,200
W01000893,390
W01000894,210
W01000895,400
W01000896,645
W01000897,295
W01000898,205
W01000899,160
W01000900,470
W01000901,355
W01000902,90
W01000903,45
W01000904,75
W01000905,205
W01000906,105
W01000907,415
W01000908,135
W01000909,200
W01000910,100
W01000911,70
W01000912,240
W01000913,185
W01000914,475
W01000915,155
W01000916,130
W01000917,300
W01000918,240
W01000919,160
W01000920,250
W01000921,595
W01000922,340
W01000923,110
W01000924,255
W01000925,380
W01000926,260
W01000927,280
W01000928,315
W01000929,320
W01000930,365
W01000931,265
W01000932,235
W01000933,170
W01000934,405
W01000935,510
W01000936,450
W01000937,495
W01000938,150
W01000939,445
W01000940,390
W01000941,425
W01000942,540
W01000943,95
W01000944,235
W01000945,215
W01000946,275
W01000947,455
W01000948,305
W01000949,165
W01000950,255
W01000951,380
W01000952,180
W01000953,335
W01000954,180
W01000955,155
W01000956,80
W01000957,575
W01000958,605
W01000959,260
W01000960,430
W01000961,420
W01000962,570
W01000963,645
W01000964,500
W01000965,400
W01000966,290
W01000967,415
W01000968,350
W01000969,80
W01000970,195
W01000971,220
W01000973,340
W01000974,245
W01000975,745
W01000976,280
W01000977,365
W01000978,335
W01000979,220
W01000980,195
W01000981,450
W01000982,210
W01000983,145
W01000984,295
W01000985,50
W01000986,170
W01000987,530
W01000989,105
W01000990,355
W01000991,515
W01000992,500
W01000993,455
W01000994,350
W01000995,260
W01000996,225
W01000997,210
W01000998,205
W01000999,320
W01001000,240
W01001001,315
W01001002,725
W01001003,100
W01001004,220
W01001005,155
W01001006,130
W01001007,320
W01001008,110
W01001009,185
W01001010,290
W01001011,145
W01001012,130
W01001013,260
W01001014,385
W01001015,335
W01001016,200
W01001017,190
W01001018,280
W01001019,385
W01001020,340
W01001021,340
W01001022,455
W01001023,395
W01001024,275
W01001025,210
W01001026,460
W01001027,190
W01001028,210
W01001029,140
W01001030,195
W01001031,80
W01001032,155
W01001033,280
W01001034,325
W01001035,450
W01001036,105
W01001037,85
W01001038,305
W01001039,165
W01001040,170
W01001041,135
W01001042,250
W01001043,235
W01001044,345
W01001045,340
W01001046,385
W01001047,215
W01001048,175
W01001049,350
W01001050,355
W01001051,420
W01001052,355
W01001053,70
W01001054,70
W01001055,355
W01001056,185
W01001057,360
W01001058,220
W01001059,125
W01001060,70
W01001061,350
W01001062,135
W01001063,295
W01001064,435
W01001065,270
W01001066,305
W01001067,435
W01001068,285
W01001069,405
W01001070,310
W01001071,295
W01001072,190
W01001073,630
W01001075,85
W01001076,175
W01001077,195
W01001078,120
W01001079,395
W01001080,385
W01001081,555
W01001082,120
W01001083,35
W01001084,85
W01001085,40
W01001086,75
W01001087,100
W01001088,335
W01001089,75
W01001090,55
W01001091,105
W01001092,365
W01001093,430
W01001094,400
W01001095,600
W01001096,230
W01001097,550
W01001098,55
W01001099,290
W01001100,105
W01001101,275
W01001102,265
W01001103,75
W01001104,135
W01001105,125
W01001106,85
W01001107,125
W01001108,180
W01001109,165
W01001110,75
W01001111,305
W01001112,85
W01001113,85
W01001114,40
W01001115,180
W01001116,95
W01001117,145
W01001118,270
W01001119,135
W01001120,70
W01001121,275
W01001122,325
W01001123,140
W01001124,155
W01001125,105
W01001126,250
W01001127,60
W01001128,85
W01001129,225
W01001130,50
W01001131,400
W01001132,85
W01001133,85
W01001134,70
W01001135,65
W01001136,65
W01001137,535
W01001138,390
W01001139,285
W01001140,310
W01001141,460
W01001142,470
W01001143,205
W01001144,635
W01001145,390
W01001146,165
W01001147,245
W01001148,320
W01001149,250
W01001150,410
W01001151,150
W01001152,200
W01001153,385
W01001154,310
W01001155,315
W01001156,55
W01001157,115
W01001158,275
W01001159,135
W01001160,120
